bowlerName,batsmanName,total_runs,balls_faced,dismissals,strike_rate,dismissal_ratio
Shakib Al Hasan,Rahmanullah Gurbaz,10,11,0,90.9090909090909,0.0
Shakib Al Hasan,Rohit Sharma,15,6,1,250.0,0.16666666666666666
Shakib Al Hasan,Scott Edwards,6,9,0,66.66666666666666,0.0
Shakib Al Hasan,Shivam Dube,11,6,0,183.33333333333331,0.0
Sompal Kami,Litton Das,1,6,1,16.666666666666664,0.16666666666666666
Sompal Kami,Max O'Dowd,10,9,1,111.11111111111111,0.1111111111111111
Sompal Kami,Reeza Hendricks,5,8,0,62.5,0.0
Sompal Kami,Vikramjit Singh,4,8,0,50.0,0.0
Steven Taylor,Quinton de Kock,9,7,0,128.57142857142858,0.0
Tabraiz Shamsi,Aasif Sheikh,5,8,1,62.5,0.125
Tabraiz Shamsi,Andries Gous,25,11,0,227.27272727272728,0.0
Tabraiz Shamsi,Anil Sah,13,12,0,108.33333333333333,0.0
Tabraiz Shamsi,Axar Patel,10,6,0,166.66666666666669,0.0
Tabraiz Shamsi,Harmeet Singh,25,14,0,178.57142857142858,0.0
Tabraiz Shamsi,Roston Chase,15,11,1,136.36363636363635,0.09090909090909091
Tabraiz Shamsi,Virat Kohli,10,9,0,111.11111111111111,0.0
Tangeni Lungameni,Khalid Kail,5,9,0,55.55555555555556,0.0
Tangeni Lungameni,Michael Jones,16,6,0,266.66666666666663,0.0
Tanzim Hasan Sakib,Angelo Mathews,11,10,1,110.00000000000001,0.1
Tanzim Hasan Sakib,David Miller,5,6,0,83.33333333333334,0.0
Tanzim Hasan Sakib,Hardik Pandya,8,6,0,133.33333333333331,0.0
Tanzim Hasan Sakib,Ibrahim Zadran,15,11,0,136.36363636363635,0.0
Tanzim Hasan Sakib,Kushal Bhurtel,5,9,1,55.55555555555556,0.1111111111111111
Tanzim Hasan Sakib,Max O'Dowd,8,8,1,100.0,0.125
Tanzim Hasan Sakib,Pathum Nissanka,12,9,0,133.33333333333331,0.0
Tanzim Hasan Sakib,Quinton de Kock,12,9,1,133.33333333333331,0.1111111111111111
Tanzim Hasan Sakib,Rahmanullah Gurbaz,10,8,0,125.0,0.0
Tanzim Hasan Sakib,Shivam Dube,10,6,0,166.66666666666669,0.0
Tanzim Hasan Sakib,Sundeep Jora,1,8,1,12.5,0.125
Tanzim Hasan Sakib,Sybrand Engelbrecht,8,6,0,133.33333333333331,0.0
Tanzim Hasan Sakib,Virat Kohli,5,6,1,83.33333333333334,0.16666666666666666
Taskin Ahmed,Aasif Sheikh,14,11,0,127.27272727272727,0.0
Taskin Ahmed,Aiden Markram,4,8,1,50.0,0.125
Taskin Ahmed,Dhananjaya de Silva,3,6,0,50.0,0.0
Taskin Ahmed,Dipendra Singh Airee,13,6,0,216.66666666666666,0.0
Taskin Ahmed,Heinrich Klaasen,4,8,1,50.0,0.125
Taskin Ahmed,Max O'Dowd,4,6,0,66.66666666666666,0.0
Taskin Ahmed,Rahmanullah Gurbaz,5,15,0,33.33333333333333,0.0
Tim Pringle,Dhananjaya de Silva,9,8,1,112.5,0.125
Tim Pringle,Kusal Mendis,9,6,0,150.0,0.0
Tim Pringle,Mahmudullah,16,7,0,228.57142857142856,0.0
Tim Pringle,Rohit Paudel,5,10,1,50.0,0.1
Tim Pringle,Shakib Al Hasan,12,7,0,171.42857142857142,0.0
Tim Pringle,Tristan Stubbs,5,7,0,71.42857142857143,0.0
Tim Southee,Charles Amini,6,12,0,50.0,0.0
Tim Southee,Kenneth Waiswa,2,6,0,33.33333333333333,0.0
Tim Southee,Nicholas Pooran,9,7,1,128.57142857142858,0.14285714285714285
Tim Southee,Ronak Patel,2,8,0,25.0,0.0
Trent Boult,Assad Vala,6,10,0,60.0,0.0
Trent Boult,Kenneth Waiswa,4,6,0,66.66666666666666,0.0
Trent Boult,Rahmanullah Gurbaz,18,14,1,128.57142857142858,0.07142857142857142
Trent Boult,Ronak Patel,1,8,0,12.5,0.0
Vivian Kingma,Anil Sah,11,11,0,100.0,0.0
Vivian Kingma,David Miller,4,8,0,50.0,0.0
Vivian Kingma,Kamindu Mendis,11,14,0,78.57142857142857,0.0
Vivian Kingma,Kushal Bhurtel,2,7,0,28.57142857142857,0.0
Vivian Kingma,Reeza Hendricks,3,6,1,50.0,0.16666666666666666
Vivian Kingma,Tanzid Hasan,19,11,0,172.72727272727272,0.0
Wanindu Hasaranga,Heinrich Klaasen,14,10,0,140.0,0.0
Wanindu Hasaranga,Litton Das,3,9,1,33.33333333333333,0.1111111111111111
Wanindu Hasaranga,Scott Edwards,4,6,0,66.66666666666666,0.0
Wanindu Hasaranga,Towhid Hridoy,27,9,1,300.0,0.1111111111111111
Zeeshan Maqsood,Brandon McMullen,18,9,0,200.0,0.0
Zeeshan Maqsood,Gerhard Erasmus,8,8,0,100.0,0.0
