bowlerName,balls_bowled,dot_balls,runs_conceded,extras,wickets,dot_percent,economy,discipline_ratio
Rishad Hossain,30,16,34,0,6,53.333333333333336,6.8,100.0
Romario Shepherd,12,2,32,0,0,16.666666666666664,16.0,100.0
Ruben Trumpelmann,13,3,17,1,2,23.076923076923077,7.846153846153847,92.3076923076923
Safyaan Sharif,19,2,30,1,1,10.526315789473683,9.473684210526317,94.73684210526316
Sagar Dhakal,6,2,4,0,0,33.33333333333333,4.0,100.0
Sam Curran,19,3,34,1,1,15.789473684210526,10.736842105263158,94.73684210526316
Sandeep Lamichhane,6,1,10,0,0,16.666666666666664,10.0,100.0
Saurabh Netravalkar,18,7,21,0,1,38.88888888888889,7.0,100.0
Shadley van Schalkwyk,6,0,15,0,0,0.0,15.0,100.0
Shaheen Shah Afridi,24,11,22,0,1,45.83333333333333,5.5,100.0
Shakeel Ahmed,6,2,9,0,0,33.33333333333333,9.0,100.0
Shakib Al Hasan,2,2,0,0,2,100.0,0.0,100.0
Sompal Kami,6,0,6,0,0,0.0,6.0,100.0
Tabraiz Shamsi,14,5,24,2,2,35.714285714285715,10.285714285714285,85.71428571428572
Tangeni Lungameni,6,3,6,0,0,50.0,6.0,100.0
Tanzim Hasan Sakib,24,9,38,0,1,37.5,9.5,100.0
Taskin Ahmed,31,17,28,1,5,54.83870967741935,5.419354838709677,96.7741935483871
Tim Pringle,12,1,31,0,0,8.333333333333332,15.5,100.0
Tim Southee,13,8,4,1,3,61.53846153846154,1.8461538461538463,92.3076923076923
Trent Boult,24,15,10,0,5,62.5,2.5,100.0
Wanindu Hasaranga,2,0,5,0,0,0.0,15.0,100.0
