matchID,matchNo,match,currentInning,inningID,over,runningOver,runs,batsmanRuns,batsmanBall,bowlerRuns,shortText,batsmanPlayerID,batsmanName,bowlerPlayerID,bowlerName,isBoundary,isWide,isNoBall,isLegBye,isBye,isWicket,isBowlerWicket,wicketText,wktBatsmanName,wktBowlerName,wktBatsmanRuns,wktbatsmanBalls,commentary,lower_comment,review_outcome
1415703,3rd Match,Oman vs Namibia,Oman,1,0.1,1,0,0,1,0,"Trumpelmann to Prajapati, OUT",1276719,Kashyap Prajapati,698317,Ruben Trumpelmann,False,False,False,False,False,True,1.0,Kashyap Prajapati lbw b Trumpelmann 0 (1b 0x4 0x6 1m) SR: 0,Kashyap Prajapati,b Trumpelmann,0.0,1.0,"Strikes first ball! A peach to begin Namibia's T20 World Cup campaign. The perfect left-arm fast bowler's dismissal. Full and straight on middle and leg, just swinging in late a touch. Prajapati looks to flick it across but is done in by the inswing, late one that. Gets rapped low on the front pad. The umpire did not have to be convinced a lot. Raises his finger immediately and Trumpelmann is off the mark in this T20 World Cup! Prajapati chats with his partner about the review but has been sent walking","strikes first ball! a peach to begin namibia's t20 world cup campaign. the perfect left-arm fast bowler's dismissal. full and straight on middle and leg, just swinging in late a touch. prajapati looks to flick it across but is done in by the inswing, late one that. gets rapped low on the front pad. the umpire did not have to be convinced a lot. raises his finger immediately and trumpelmann is off the mark in this t20 world cup! prajapati chats with his partner about the review but has been sent walking",Unclear
1415703,3rd Match,Oman vs Namibia,Oman,1,0.2,1,0,0,1,0,"Trumpelmann to Aqib, OUT",940593,Aqib Ilyas,698317,Ruben Trumpelmann,False,False,False,False,False,True,1.0,Aqib Ilyas lbw b Trumpelmann 0 (1b 0x4 0x6 2m) SR: 0,Aqib Ilyas,b Trumpelmann,0.0,1.0,"Toe-crusher, and that is as plumb as it gets! What a start for Trumpelmann and Namibia. He's rocking the long mane and has a new look, with the head-band on, but the menace with the new ball from left-arm over the wicket to the right-hander stays. Spears it full and straight on middle, and it hits Ilyas full on the front leg, even before he could dig it out. A review wasted as well for Oman","toe-crusher, and that is as plumb as it gets! what a start for trumpelmann and namibia. he's rocking the long mane and has a new look, with the head-band on, but the menace with the new ball from left-arm over the wicket to the right-hander stays. spears it full and straight on middle, and it hits ilyas full on the front leg, even before he could dig it out. a review wasted as well for oman",Unclear
1415703,3rd Match,Oman vs Namibia,Oman,1,6.3,7,0,0,1,0,"Scholtz to Maqsood, OUT",585083,Zeeshan Maqsood,330223,Bernard Scholtz,False,False,False,False,False,True,1.0,Zeeshan Maqsood lbw b Scholtz 22 (20b 4x4 0x6 29m) SR: 110,Zeeshan Maqsood,b Scholtz,22.0,20.0,"Trapped him! Scholtz gets the big man Maqsood, who reviews. Tossed up outside off, fullish length, it spins back in. Maqsood looks to whip it across the line with the spin but perhaps it spins in more than he anticipated. Gets beaten on the inside edge and is struck on the back leg that is in front of the stumps. Three reds on Ball-Tracker and Oman lose both their reviews","trapped him! scholtz gets the big man maqsood, who reviews. tossed up outside off, fullish length, it spins back in. maqsood looks to whip it across the line with the spin but perhaps it spins in more than he anticipated. gets beaten on the inside edge and is struck on the back leg that is in front of the stumps. three reds on ball-tracker and oman lose both their reviews",Unclear
1415703,3rd Match,Oman vs Namibia,Oman,1,15.1,16,0,0,1,0,"Erasmus to Nadeem, OUT",41984,Mohammad Nadeem,519070,Gerhard Erasmus,False,False,False,False,False,True,1.0,Mohammad Nadeem lbw b Erasmus 6 (10b 0x4 0x6 10m) SR: 60,Mohammad Nadeem,b Erasmus,6.0,10.0,"Prolonged appeal and Erasmus gets the decision in his favour. Nadeem wants to review but Oman have none left. Erasmus lands it on a length and spins it in just a touch, beating the batter on the inside edge and rapping him o the front pad. The only question was if it pitched in line. Looks to be the case and a good decision that from umpire Joel Wilson. Three reds, shows the Hawk-Eye","prolonged appeal and erasmus gets the decision in his favour. nadeem wants to review but oman have none left. erasmus lands it on a length and spins it in just a touch, beating the batter on the inside edge and rapping him o the front pad. the only question was if it pitched in line. looks to be the case and a good decision that from umpire joel wilson. three reds, shows the hawk-eye",Unclear
1415703,3rd Match,Oman vs Namibia,Oman,1,17.4,18,0,0,1,0,"Wiese to Mehran Khan, OUT",888565,Mehran Khan,221140,David Wiese,False,False,False,False,False,True,1.0,Mehran Khan lbw b Wiese 7 (8b 1x4 0x6 12m) SR: 87.5,Mehran Khan,b Wiese,7.0,8.0,"LBW? Nope says the umpire, Wiese wants a review. Goes wide of the crease and angles a length ball in from outside off, Mehran looks to heave it across but completely misses it and is hit on the thigh pad of the back leg. Is height a factor? Not at all, three reds on the Hawk-Eye and Wiese exults as soon as he spots it on the big screen","lbw? nope says the umpire, wiese wants a review. goes wide of the crease and angles a length ball in from outside off, mehran looks to heave it across but completely misses it and is hit on the thigh pad of the back leg. is height a factor? not at all, three reds on the hawk-eye and wiese exults as soon as he spots it on the big screen",Unclear
1415703,3rd Match,Oman vs Namibia,Oman,1,18.3,19,0,0,1,0,"Trumpelmann to Kaleemullah, OUT",1077307,Kaleemullah,698317,Ruben Trumpelmann,False,False,False,False,False,True,1.0,Kaleemullah lbw b Trumpelmann 2 (3b 0x4 0x6 4m) SR: 66.66,Kaleemullah,b Trumpelmann,2.0,3.0,"Trapped lbw! No need to review this, as the ump gives it straightaway. Length ball in line of the stumps, Kaleemullah gets across but misses his nudge. Hits him low on the front pad, fourth strike for Trumpelmann","trapped lbw! no need to review this, as the ump gives it straightaway. length ball in line of the stumps, kaleemullah gets across but misses his nudge. hits him low on the front pad, fourth strike for trumpelmann",Unclear
1415703,3rd Match,Oman vs Namibia,Namibia,2,19.3,20,0,0,1,0,"Mehran Khan to Green, OUT",596664,Zane Green,888565,Mehran Khan,False,False,False,False,False,True,1.0,Zane Green lbw b Mehran Khan 0 (2b 0x4 0x6 2m) SR: 0,Zane Green,b Mehran Khan,0.0,2.0,"O man, Oman are in this! Green tries to play a cheeky leg-side scoop over short fine leg but he misses. Mehran's full ball on off stump hits him on the pad and the umpire gives him out LBW. Namibia review. Crashing into the stumps!","o man, oman are in this! green tries to play a cheeky leg-side scoop over short fine leg but he misses. mehran's full ball on off stump hits him on the pad and the umpire gives him out lbw. namibia review. crashing into the stumps!",Unclear
1415704,4th Match,Sri Lanka vs South Africa,Sri Lanka,1,5.5,6,0,0,1,0,"Baartman to Kusal Mendis, no run",629074,Kusal Mendis,535353,Ottneil Baartman,False,False,False,False,False,False,,,,,,,"wonderful. This is like a Test match so far. Length ball that jags back in, hits Mendis on the pads and raises a big appeal. That was maybe bouncing over, or perhaps seaming too far. No review from South Africa","wonderful. this is like a test match so far. length ball that jags back in, hits mendis on the pads and raises a big appeal. that was maybe bouncing over, or perhaps seaming too far. no review from south africa",Unclear
1415704,4th Match,Sri Lanka vs South Africa,South Africa,2,4.3,5,0,0,1,0,"Shanaka to Stubbs, no run",595978,Tristan Stubbs,437316,Dasun Shanaka,False,False,False,False,False,False,,,,,,,"big appeal for a caught behind, but did Stubbs touch that? I'm not sure. Sri Lanka have reviewed.  This was a length ball down leg, which the batter tried to glance, but he misses. The on-field umpire has given it a wide. The snicko shows it flicking thigh pad, but it's nowhere near the bat.","big appeal for a caught behind, but did stubbs touch that? i'm not sure. sri lanka have reviewed.  this was a length ball down leg, which the batter tried to glance, but he misses. the on-field umpire has given it a wide. the snicko shows it flicking thigh pad, but it's nowhere near the bat.",Unclear
1415704,4th Match,Sri Lanka vs South Africa,South Africa,2,15.6,16,0,0,1,0,"Theekshana to Miller, no run",321777,David Miller,1138316,Maheesh Theekshana,False,False,False,False,False,False,,,,,,,"Appeal for leg before as Miller is rapped on the pads in front of leg stump. Not out is the call but SL review. This looked to be pitching well outside leg on first glance, and indeed it is.","appeal for leg before as miller is rapped on the pads in front of leg stump. not out is the call but sl review. this looked to be pitching well outside leg on first glance, and indeed it is.",Unclear
