batsmanName,Death,Middle,Powerplay
Kenneth Waiswa,3.75,2.3333333333333335,2.1666666666666665
Keshav Maharaj,5.226190476190476,2.0,0.0
Khalid Kail,14.0,3.2637362637362637,3.6
Kiplin Doriga,6.857142857142857,4.575,0.0
Kusal Mendis,0.0,6.235294117647059,7.33846153846154
Kushal Bhurtel,0.0,2.0,4.4
Kushal Malla,1.0,5.837837837837838,0.0
Kyle Mayers,0.0,5.333333333333333,7.125
Lega Siaka,0.0,4.0,2.904761904761905
Liam Livingstone,11.485714285714286,10.20625,0.0
Litton Das,6.0,3.418803418803419,5.946153846153846
Lockie Ferguson,0.0,3.0,0.0
Logan van Beek,5.25,3.3333333333333335,0.0
Lorcan Tucker,0.0,2.9285714285714284,5.8181818181818175
Mahedi Hasan,3.75,0.0,0.0
Maheesh Theekshana,2.25,2.0,0.0
Mahmudullah,6.622857142857143,5.671109592162224,3.0
Malan Kruger,6.0,3.5999999999999996,0.0
Marco Jansen,8.6,6.923076923076923,0.0
Marcus Stoinis,11.944444444444445,8.589666666666666,2.0
Mark Adair,11.142857142857142,6.236363636363637,0.0
Mark Chapman,0.0,3.4285714285714284,0.0
Matheesha Pathirana,0.0,0.0,0.0
Matt Henry,0.0,4.333333333333333,0.0
Matthew Cross,0.0,8.356060606060607,0.0
Matthew Wade,5.933333333333334,4.285714285714286,0.0
Max O'Dowd,12.0,5.307692307692308,5.482142857142857
Mehran Khan,8.316666666666666,4.821428571428571,0.0
Michael Bracewell,0.0,0.0,0.0
Michael Jones,0.0,6.136363636363637,7.7070561017929435
Michael Leask,11.357142857142856,6.45,0.0
Michael Levitt,0.0,0.0,4.7146739130434785
Michael van Lingen,0.0,7.5,4.562770562770563
Milind Kumar,2.0,5.0,0.0
Mitchell Marsh,0.0,4.426923076923077,8.696969696969697
Mitchell Santner,14.0,2.875,0.0
Mitchell Starc,4.285714285714286,0.0,0.0
Moeen Ali,0.0,8.357272727272727,6.0
Mohammad Nabi,7.94,4.108695652173913,0.0
Mohammad Nadeem,0.0,3.5999999999999996,0.0
Mohammad Rizwan,9.0,5.342857142857143,5.662862318840579
Mohammed Siraj,6.0,0.0,0.0
Monank Patel,0.0,4.0,7.105882352941176
Mustafizur Rahman,2.25,0.0,0.0
Najibullah Zadran,3.0,4.736842105263158,0.0
Najmul Hossain Shanto,0.0,6.244651483781918,4.8890756302521
Nangeyalia Kharote,6.0,0.0,1.7142857142857142
Naseem Khushi,0.0,0.0,6.333333333333334
Naseem Shah,15.0,0.0,0.0
Naveen-ul-Haq,0.0,3.5,0.0
Navneet Dhaliwal,0.0,9.461538461538462,4.748917748917749
Nicholas Kirton,5.904761904761905,8.712962962962964,1.0
Nicholas Pooran,18.0,6.964102564102563,8.75
Nikolaas Davin,0.0,4.0,5.880042016806723
Nitish Kumar,7.090909090909091,3.916666666666667,8.28888888888889
Noor Ahmad,4.5,1.5,0.0
Norman Vanua,6.2,1.3333333333333333,0.0
Nosthush Kenjige,1.0,0.0,0.0
Nuwan Thushara,3.0,0.0,0.0
Pargat Singh,0.0,5.4,4.575757575757576
Pat Cummins,3.142857142857143,3.4285714285714284,0.0
Pathum Nissanka,0.0,7.8,4.527777777777778
Paul Stirling,0.0,0.0,2.777777777777778
Paul van Meekeren,3.0,3.75,0.0
Phil Salt,12.0,10.426666666666668,10.094414607948442
Pratik Athavale,0.0,8.571428571428571,5.6000000000000005
Quinton de Kock,0.0,7.19580912508544,8.566964285714285
Rachin Ravindra,0.0,5.333333333333333,4.2727272727272725
Rafiullah,0.0,0.0,0.0
Rahmanullah Gurbaz,8.0,7.96341406417962,6.397180451127819
Rashid Khan,9.266666666666667,7.166666666666667,0.0
Ravinderpal Singh,0.0,0.0,0.0
Ravindra Jadeja,9.3,3.0,0.0
Reece Topley,6.0,6.0,0.0
Reeza Hendricks,0.0,6.630824372759856,4.815067079463365
Riazat Ali Shah,1.0,3.4559339525283796,2.760037348272642
Richie Berrington,11.636363636363637,8.59047619047619,0.0
Rishabh Pant,0.0,9.437134502923977,5.593977591036414
Rishad Hossain,9.45,3.0,0.0
Robinson Obuya,0.0,3.9130434782608696,2.125
Roger Mukasa,0.0,0.0,0.5
Rohit Paudel,0.0,3.3333333333333335,3.2272727272727275
Rohit Sharma,0.0,10.285714285714286,8.399038461538462
Romario Shepherd,4.555555555555556,7.0,0.0
Ronak Patel,0.0,0.0,6.5625
Roston Chase,16.666666666666668,6.555555555555555,3.7894736842105265
Rovman Powell,11.0,8.005838124723573,1.2
Ruben Trumpelmann,3.0,6.0,0.0
Saad Bin Zafar,3.75,3.7894736842105265,0.0
Sadeera Samarawickrama,0.0,0.0,0.0
