bowlerName,matches,balls_bowled,runs_conceded,wickets,dot_balls,extras,economy,strike_rate,dot_percent,discipline_ratio,wickets_per_match,economy_z,strike_rate_z,dot_percent_z,discipline_ratio_z,wickets_per_match_z
Chad Soper,4,62,65,2,29,1,6.290322580645161,31.0,46.774193548387096,98.38709677419355,0.5,-0.3733916287324554,0.6416932034383466,0.5751226935880985,0.5726576155435914,-0.6668734163190925
Charles Amini,3,20,21,0,5,0,6.3,20.0,25.0,100.0,0.0,-0.3704290836947312,-0.08501156788637555,-1.1303184794612036,1.0049879528072323,-1.354140607763497
Chris Greaves,3,30,30,2,10,0,6.0,15.0,33.33333333333333,100.0,0.6666666666666666,-0.46226797986418,-0.41533191848852197,-0.4776187712571501,1.0049879528072323,-0.43778435250429093
Chris Jordan,5,87,134,11,26,4,9.241379310344827,7.909090909090909,29.88505747126437,95.40229885057471,2.2,0.5300143465643472,-0.8837862338879295,-0.747701409134689,-0.22740197410521862,1.6698350345918833
Chris Sole,3,63,97,2,17,3,9.238095238095237,31.5,26.984126984126984,95.23809523809524,0.6666666666666666,0.5290089946632036,0.6747252384985611,-0.974913787031667,-0.27141590006637595,-0.43778435250429093
Corey Anderson,4,49,69,2,15,1,8.448979591836736,24.5,30.612244897959183,97.95918367346938,0.5,0.28743729498846354,0.2122767476555562,-0.6907452065890858,0.4579577301471129,-0.6668734163190925
Cosmas Kyewuta,4,85,97,5,31,6,6.847058823529412,17.0,36.470588235294116,92.94117647058823,1.25,-0.20295815538573614,-0.2832037782476634,-0.23189652816856485,-0.8870930526289419,0.36402737084751446
Craig Young,1,25,32,2,13,1,7.68,12.5,52.0,96.0,2.0,0.0520298386847332,-0.5804920937895952,0.9844285751199311,-0.06719128360659923,1.3949281580141213
Curtis Campher,3,43,39,2,19,1,5.441860465116279,21.5,44.18604651162791,97.67441860465117,0.6666666666666666,-0.633131042505015,0.01408453729426836,0.3724087557062694,0.38162793163640085,-0.43778435250429093
Daryl Mitchell,2,12,35,0,2,0,17.5,12.0,16.666666666666664,100.0,0.0,3.05822303996469,-0.6135241288498098,-1.7830181876652578,1.0049879528072323,-1.354140607763497
Dasun Shanaka,3,31,27,2,15,1,5.225806451612903,15.5,48.38709677419355,96.7741935483871,0.6666666666666666,-0.6992715828821124,-0.38229988342830734,0.7014516693695286,0.14032727827995053,-0.43778435250429093
David Wiese,4,62,79,5,32,1,7.64516129032258,12.4,51.61290322580645,98.38709677419355,1.25,0.04136467654892616,-0.5870985008016381,0.9541096209323877,0.5726576155435914,0.36402737084751446
Dhananjaya de Silva,1,13,11,1,3,1,5.0769230769230775,13.0,23.076923076923077,92.3076923076923,1.0,-0.7448491988470992,-0.5474600587293805,-1.2809414890467545,-1.056895194142444,0.02039377512531215
Dilon Heyliger,3,70,55,5,29,4,4.714285714285714,14.0,41.42857142857143,94.28571428571429,1.6666666666666667,-0.8558632491618177,-0.4813959886089512,0.15643237385536,-0.5266966706410968,0.9367500303845183
Dinesh Nakrani,2,36,57,1,7,0,9.5,36.0,19.444444444444446,100.0,0.5,0.6091858087793893,0.9720135540404929,-1.5654516182639062,1.0049879528072323,-0.6668734163190925
Dipendra Singh Airee,3,58,49,7,27,1,5.06896551724138,8.285714285714286,46.55172413793103,98.27586206896552,2.3333333333333335,-0.7472852438383313,-0.8589049607256899,0.5576980072734185,0.5428417302150651,1.8531062856437246
Fayyaz Butt,1,1,4,0,0,0,24.0,1.0,0.0,100.0,0.0,5.048065790302748,-1.3402289001745318,-3.0884176040733653,1.0049879528072323,-1.354140607763497
Fazalhaq Farooqi,8,164,160,17,79,12,5.853658536585366,9.647058823529411,48.170731707317074,92.6829268292683,2.125,-0.5070674414102526,-0.7689689997214081,0.6845050994476293,-0.9563155284375804,1.5667449558752224
Frank Nsubuga,2,43,33,2,24,1,4.604651162790698,21.5,55.81395348837209,97.67441860465117,1.0,-0.8894256364662674,0.01408453729426836,1.283152534595647,0.38162793163640085,0.02039377512531215
Gareth Delany,2,24,29,1,8,1,7.25,24.0,33.33333333333333,95.83333333333333,0.5,-0.07960591249147665,0.17924471259534155,-0.4776187712571501,-0.11186541845717682,-0.6668734163190925
Gerhard Erasmus,4,68,81,4,23,2,7.147058823529411,17.0,33.82352941176471,97.05882352941177,1.0,-0.11111925921628768,-0.2832037782476634,-0.439224670774558,0.21662086720882767,0.02039377512531215
Glenn Maxwell,5,75,103,3,25,3,8.24,25.0,33.33333333333333,96.0,0.6,0.22346244486770445,0.24530878271577083,-0.4776187712571501,-0.06719128360659923,-0.5294199780302116
Glenn Phillips,1,6,9,0,1,0,9.0,6.0,16.666666666666664,100.0,0.0,0.45612098183030797,-1.0099085495723854,-1.7830181876652578,1.0049879528072323,-1.354140607763497
Gudakesh Motie,7,126,149,8,55,0,7.095238095238095,15.75,43.65079365079365,100.0,1.1428571428571428,-0.12698312083285906,-0.3657838658982,0.330485629376441,1.0049879528072323,0.2167558298237134
Gulbadin Naib,4,54,47,7,23,0,5.222222222222222,7.714285714285714,42.592592592592595,100.0,1.75,-0.7003688217849732,-0.8966558579373638,0.24760312674735485,1.0049879528072323,1.051294562291919
Gulsan Jha,1,13,17,0,2,1,7.846153846153847,13.0,15.384615384615385,92.3076923076923,0.0,0.10289445810165894,-0.5474600587293805,-1.883433527388958,-1.056895194142444,-1.354140607763497
Hardik Pandya,8,157,191,12,69,7,7.2993630573248405,13.083333333333334,43.94904458598726,95.54140127388536,1.5,-0.06449441683726807,-0.541954719552678,0.3538458251811354,-0.19011629160308802,0.7076609665697168
Haris Rauf,4,94,101,8,48,4,6.446808510638298,11.75,51.06382978723404,95.74468085106383,2.0,-0.3254866451437244,-0.6300401463799171,0.9111040121557309,-0.13562825614365134,1.3949281580141213
Harmeet Singh,5,100,139,4,33,4,8.34,25.0,33.0,96.0,0.8,0.2540754102575206,0.24530878271577083,-0.5037267595853119,-0.06719128360659923,-0.2545131014524496
Henry Ssenyondo,1,13,19,0,4,1,8.76923076923077,13.0,30.76923076923077,92.3076923076923,0.0,0.3854756770845784,-0.5474600587293805,-0.6784494507045509,-1.056895194142444,-1.354140607763497
Iftikhar Ahmed,2,13,17,0,5,1,7.846153846153847,13.0,38.46153846153847,92.3076923076923,0.0,0.10289445810165894,-0.5474600587293805,-0.07595741236234686,-1.056895194142444,-1.354140607763497
Imad Wasim,3,68,44,3,38,2,3.8823529411764706,22.666666666666668,55.88235294117647,97.05882352941177,1.0,-1.1105425410602892,0.0911592857681026,1.2885098509420552,0.21662086720882767,0.02039377512531215
Ish Sodhi,1,23,29,2,8,1,7.565217391304348,11.5,34.78260869565217,95.65217391304348,2.0,0.016891478411205006,-0.6465561639100245,-0.36410577852601006,-0.16042426068606136,1.3949281580141213
Jack Brassell,2,16,46,0,3,0,17.25,16.0,18.75,100.0,0.0,2.9816906264901495,-0.34926784836809266,-1.619843260614244,1.0049879528072323,-1.354140607763497
James Neesham,1,25,27,1,9,1,6.4799999999999995,25.0,36.0,96.0,1.0,-0.31532574599306207,0.24530878271577083,-0.26875486463185244,-0.06719128360659923,0.02039377512531215
Jasdeep Singh,4,77,121,1,22,5,9.428571428571429,77.0,28.57142857142857,93.50649350649351,0.25,0.5873194049295206,3.6806404289780934,-0.8505900330880378,-0.7355627556567783,-1.0105070120412947
Jasprit Bumrah,8,179,124,15,102,1,4.156424581005587,11.933333333333334,56.98324022346368,99.44134078212291,1.875,-1.0266410848160998,-0.6179284001911717,1.374735707891785,0.85524224939748,1.2231113601530201
Jeremy Gordon,3,70,77,3,31,7,6.6000000000000005,23.333333333333332,44.285714285714285,90.0,1.0,-0.2785901875252822,0.13520199918172196,0.38021513095389253,-1.6754601382273466,0.02039377512531215
Jofra Archer,8,163,190,10,76,5,6.993865030674846,16.3,46.62576687116564,96.93251533742331,1.25,-0.15801642200220248,-0.32944862733196384,0.5634973277186414,0.1827646119990788,0.36402737084751446
John Kariko,3,66,50,1,30,0,4.545454545454546,66.0,45.45454545454545,100.0,0.3333333333333333,-0.9075474764433256,2.9539356576533713,0.47176262249420137,1.0049879528072323,-0.895962480133894
Josh Hazlewood,6,147,145,4,70,3,5.918367346938775,36.75,47.61904761904761,97.95918367346938,0.6666666666666666,-0.48725815569260145,1.0215616066308149,0.6412950142355137,0.4579577301471129,-0.43778435250429093
Josh Little,3,71,96,0,28,5,8.112676056338028,71.0,39.436619718309856,92.95774647887323,0.0,0.18448481006151574,3.2842560082555177,0.000414817850044493,-0.8826515479213461,-1.354140607763497
Juma Miyagi,3,58,56,3,27,2,5.793103448275862,19.333333333333332,46.55172413793103,96.55172413793103,1.0,-0.5256051496362136,-0.12905428129999516,0.5576980072734185,0.08069550762289412,0.02039377512531215
Junaid Siddiqui,2,43,55,1,12,1,7.674418604651162,43.0,27.906976744186046,97.67441860465117,0.5,0.05032120805832476,1.434462044883498,-0.9026325347388593,0.38162793163640085,-0.6668734163190925
Kabua Morea,2,32,34,2,17,0,6.375,16.0,53.125,100.0,1.0,-0.34746935965236897,-0.34926784836809266,1.0725430357274783,1.0049879528072323,0.02039377512531215
Kagiso Rabada,9,194,195,15,91,8,6.030927835051546,12.933333333333334,46.90721649484536,95.87628865979381,1.6666666666666667,-0.45280005242403065,-0.5518643300707424,0.5855415781886286,-0.10035146617609907,0.9367500303845183
Kaleem Sana,3,73,93,1,28,7,7.6438356164383565,73.0,38.35616438356164,90.41095890410959,0.3333333333333333,0.040958848461566964,3.4163841484963764,-0.08421072795607636,-1.5653047372259248,-0.895962480133894
Kaleemullah,4,49,67,2,23,1,8.204081632653061,24.5,46.93877551020408,97.95918367346938,0.5,0.21246676750319887,0.2122767476555562,0.5880134054025301,0.4579577301471129,-0.6668734163190925
Karan KC,2,24,26,0,13,0,6.5,24.0,54.166666666666664,100.0,0.0,-0.30920315291509864,0.17924471259534155,1.1541304992529848,1.0049879528072323,-1.354140607763497
Karim Janat,1,13,10,0,6,1,4.615384615384616,13.0,46.15384615384615,92.3076923076923,0.0,-0.8861398083385589,-0.5474600587293805,0.5265346259798563,-1.056895194142444,-1.354140607763497
Keshav Maharaj,8,171,175,11,66,3,6.140350877192983,15.545454545454545,38.59649122807017,98.24561403508773,1.375,-0.4193024144047886,-0.379296971150106,-0.0653873766019581,0.5347339017485362,0.5358441687086156
Kuldeep Yadav,5,122,139,10,48,2,6.836065573770492,12.2,39.34426229508197,98.36065573770492,2.0,-0.20632351512965047,-0.600311314825724,-0.006818981732914012,0.5655702329654978,1.3949281580141213
Kushal Bhurtel,2,51,41,4,22,3,4.823529411764706,12.75,43.13725490196079,94.11764705882354,2.0,-0.8224205138620185,-0.5639760762594879,0.29026323839467866,-0.571746218389577,1.3949281580141213
Kushal Malla,1,12,17,0,5,0,8.5,12.0,41.66666666666667,100.0,0.0,0.30305615488122667,-0.6135241288498098,0.17508093694690458,1.0049879528072323,-1.354140607763497
Liam Livingstone,4,67,83,3,23,1,7.432835820895523,22.333333333333332,34.32835820895522,98.50746268656717,0.75,-0.02363444592054375,0.06913792906129268,-0.39968447774024785,0.6049210735483405,-0.32323982059689016
Lockie Ferguson,4,100,64,7,66,4,3.84,14.285714285714286,66.0,96.0,1.75,-1.1235080322842113,-0.46252054000311427,2.0809640849027415,-0.06719128360659923,1.051294562291919
Logan van Beek,4,95,127,7,43,3,8.021052631578947,13.571428571428571,45.26315789473684,96.84210526315789,1.75,0.15643616275105376,-0.5097091615177066,0.45677238996128544,0.15853066090157464,1.051294562291919
Mahedi Hasan,2,48,50,0,23,0,6.25,48.0,47.91666666666667,100.0,0.0,-0.3857355663896393,1.7647823954856443,0.6646057180999451,1.0049879528072323,-1.354140607763497
Maheesh Theekshana,3,52,53,1,17,4,6.115384615384616,52.0,32.69230769230769,92.3076923076923,0.3333333333333333,-0.4269453274913149,2.0290386759673615,-0.5278264411189999,-1.056895194142444,-0.895962480133894
Mahmudullah,5,55,50,1,23,1,5.454545454545455,55.0,41.81818181818181,98.18181818181819,0.2,-0.6292477910813594,2.227230886328649,0.1869482043687957,0.5176337544373103,-1.0792337311857352
Marco Jansen,9,205,213,8,96,18,6.234146341463415,25.625,46.82926829268293,91.21951219512195,0.8888888888888888,-0.3905888413904638,0.28659882654103913,0.5794363659318552,-1.3485762246865445,-0.13233226741788895
Marcus Stoinis,6,109,151,10,43,7,8.311926605504587,10.9,39.44954128440367,93.57798165137615,1.6666666666666667,0.24548131171689316,-0.686194605982282,0.0014268861403212482,-0.7164007295085517,0.9367500303845183
Mark Adair,3,77,74,4,37,5,5.766233766233766,19.25,48.05194805194805,93.50649350649351,1.3333333333333333,-0.5338307561001142,-0.1345596204766975,0.6752014925837767,-0.7355627556567783,0.4785719027549151
Mark Watt,3,75,98,4,25,3,7.84,18.75,33.33333333333333,96.0,1.3333333333333333,0.10101058330843928,-0.16759165553691216,-0.4776187712571501,-0.06719128360659923,0.4785719027549151
Mark Wood,5,86,113,4,36,7,7.883720930232558,21.5,41.86046511627907,91.86046511627907,0.8,0.11439485654863799,0.01408453729426836,0.1902599999283941,-1.1767721212906799,-0.2545131014524496
Matheesha Pathirana,3,64,51,3,27,4,4.78125,21.333333333333332,42.1875,93.75,1.0,-0.8353634955525657,0.0030738589408634033,0.2158746687096576,-0.6702921040893794,0.02039377512531215
Matt Henry,1,24,37,2,9,0,9.25,12.0,37.5,100.0,2.0,0.5326533953048487,-0.6135241288498098,-0.15126891715512275,1.0049879528072323,1.3949281580141213
Mehran Khan,3,50,61,6,25,2,7.319999999999999,8.333333333333334,50.0,96.0,2.0,-0.058176836718605456,-0.8557590526247171,0.8277806451509582,-0.06719128360659923,1.3949281580141213
Michael Bracewell,1,18,27,0,6,0,9.0,18.0,33.33333333333333,100.0,0.0,0.45612098183030797,-0.21713970812723413,-0.4776187712571501,1.0049879528072323,-1.354140607763497
Michael Leask,3,55,76,1,19,1,8.290909090909091,55.0,34.54545454545455,98.18181818181819,0.3333333333333333,0.2390472272479745,2.227230886328649,-0.3826806318820145,0.5176337544373103,-0.895962480133894
Milind Kumar,1,7,22,0,1,1,18.857142857142858,7.0,14.285714285714285,85.71428571428572,0.0,3.473684713112197,-0.9438444794519562,-1.9695038185807017,-2.8242236058135926,-1.354140607763497
Mitchell Santner,4,86,76,4,45,4,5.3023255813953485,21.5,52.32558139534884,95.34883720930233,1.0,-0.6758468081652238,0.01408453729426836,1.009929400928834,-0.24173208953443068,0.02039377512531215
Mitchell Starc,5,119,154,5,52,11,7.764705882352942,23.8,43.69747899159664,90.75630252100841,1.0,0.0779608211325779,0.16603189857125575,0.334142210374783,-1.472737173359184,0.02039377512531215
Moeen Ali,4,54,73,3,18,0,8.11111111111111,18.0,33.33333333333333,100.0,0.75,0.18400573392082994,-0.21713970812723413,-0.4776187712571501,1.0049879528072323,-0.32323982059689016
Mohammad Amir,4,99,72,7,62,3,4.363636363636363,14.142857142857142,62.62626262626263,96.96969696969697,1.75,-0.9632074135157189,-0.4719582643060328,1.8167195969752825,0.19273095552402636,1.051294562291919
Mohammad Nabi,7,78,88,4,33,0,6.769230769230769,19.5,42.30769230769231,100.0,0.5714285714285714,-0.22678363071174718,-0.11804360294659019,0.22528860680875443,1.0049879528072323,-0.5686923889698918
Mohammed Siraj,3,68,57,2,35,2,5.029411764705882,34.0,51.470588235294116,97.05882352941177,0.6666666666666666,-0.7593938204123967,0.8398854137996343,0.9429629465987323,0.21662086720882767,-0.43778435250429093
Mujeeb Ur Rahman,1,19,16,1,13,1,5.052631578947369,19.0,68.42105263157895,94.73684210526316,1.0,-0.7522855467150708,-0.15107563800680485,2.27059052644413,-0.40577420036886,0.02039377512531215
Mustafizur Rahman,7,161,142,8,87,5,5.29192546583851,20.125,54.037267080745345,96.8944099378882,1.1428571428571428,-0.6790305919411397,-0.0767535591213219,1.1439954106162764,0.1725506574548786,0.2167558298237134
Nangeyalia Kharote,1,6,13,0,1,0,13.0,6.0,16.666666666666664,100.0,0.0,1.6806395974229587,-1.0099085495723854,-1.7830181876652578,1.0049879528072323,-1.354140607763497
Naseem Shah,3,77,71,5,36,5,5.532467532467532,15.4,46.75324675324675,93.50649350649351,1.6666666666666667,-0.6053935323360484,-0.38890629044035024,0.5734820575389887,-0.7355627556567783,0.9367500303845183
Nathan Ellis,3,70,74,4,28,4,6.342857142857143,17.5,40.0,94.28571428571429,1.3333333333333333,-0.35730924138480974,-0.2501717431874488,0.04454099530609343,-0.5266966706410968,0.4785719027549151
Naveen-ul-Haq,8,168,160,16,85,8,5.714285714285714,10.5,50.595238095238095,95.23809523809524,2.0,-0.549733595263655,-0.7126202340304537,0.8744020528798191,-0.27141590006637595,1.3949281580141213
Nikhil Dutta,1,19,41,1,5,3,12.947368421052632,19.0,26.31578947368421,84.21052631578948,1.0,1.664527510375687,-0.15107563800680485,-1.0272606307974057,-3.2272985067210485,0.02039377512531215
Noor Ahmad,6,105,98,2,46,3,5.6,52.5,43.80952380952381,97.14285714285714,0.3333333333333333,-0.5847198414234451,2.062070711027576,0.34291800477080386,0.23914564108306585,-0.895962480133894
Norman Vanua,3,54,43,3,27,6,4.777777777777778,18.0,50.0,88.88888888888889,1.0,-0.8364264457397121,-0.21713970812723413,0.8277806451509582,-1.9732877038978562,0.02039377512531215
Nosthush Kenjige,4,60,89,3,16,0,8.9,20.0,26.666666666666668,100.0,0.75,0.42550801644049185,-0.08501156788637555,-0.9997785378203928,1.0049879528072323,-0.32323982059689016
Nuwan Thushara,3,72,60,8,31,8,5.0,9.0,43.05555555555556,88.88888888888889,2.6666666666666665,-0.7683976337623426,-0.8117163392110976,0.28386422164758,-1.9732877038978562,2.3112844132733272
Obed McCoy,3,41,49,3,15,4,7.170731707317073,13.666666666666666,36.58536585365854,90.2439024390244,1.0,-0.10387228749559926,-0.503417345315761,-0.22290669000678717,-1.6100833555191847,0.02039377512531215
Ottneil Baartman,5,116,94,7,66,2,4.862068965517242,16.571428571428573,56.896551724137936,98.27586206896552,1.4,-0.8106224136103649,-0.3115169511564187,1.3679459209060376,0.5428417302150651,0.5702075282808357
Pargat Singh,1,6,15,0,0,0,15.0,6.0,0.0,100.0,0.0,2.292898905219284,-1.0099085495723854,-3.0884176040733653,1.0049879528072323,-1.354140607763497
Pat Cummins,5,119,144,9,47,5,7.260504201680673,13.222222222222221,39.49579831932773,95.7983193277311,1.8,-0.0763902648664957,-0.532779154258174,0.00504992052399955,-0.12125074090477542,1.1200212814363595
Paul van Meekeren,4,94,84,5,45,4,5.361702127659575,18.8,47.87234042553192,95.74468085106383,1.25,-0.657669886607688,-0.16428845203089065,0.6611339111414126,-0.13562825614365134,0.36402737084751446
Rachin Ravindra,1,18,9,2,11,0,3.0,9.0,61.111111111111114,100.0,2.0,-1.380656941558668,-0.8117163392110976,1.6980469227563637,1.0049879528072323,1.3949281580141213
Rashid Khan,8,181,179,14,76,7,5.933701657458563,12.928571428571429,41.988950276243095,96.13259668508287,1.75,-0.48256386852041183,-0.5521789208808398,0.20032346709844231,-0.031649430465809085,1.051294562291919
Ravindra Jadeja,7,84,106,1,21,0,7.571428571428571,84.0,25.0,100.0,0.14285714285714285,0.018792904832932694,4.143088919821098,-1.1303184794612036,1.0049879528072323,-1.1577785530650957
Reece Topley,6,115,121,2,49,7,6.3130434782608695,57.5,42.608695652173914,93.91304347826087,0.3333333333333333,-0.366436088209103,2.3923910616297226,0.24886438222214516,-0.6265891460833796,-0.895962480133894
Riazat Ali Shah,2,16,21,1,4,4,7.875,16.0,25.0,75.0,0.5,0.111725121194875,-0.34926784836809266,-1.1303184794612036,-5.696132274779215,-0.6668734163190925
Rishad Hossain,7,154,194,14,67,4,7.558441558441558,11.0,43.506493506493506,97.40259740259741,2.0,0.01481719504204743,-0.679588198970239,0.31918346992701996,0.30876766942162887,1.3949281580141213
Rohit Paudel,1,24,20,2,11,0,5.0,12.0,45.83333333333333,100.0,2.0,-0.7683976337623426,-0.6135241288498098,0.5014307910489308,1.0049879528072323,1.3949281580141213
Romario Shepherd,4,64,109,2,18,4,10.21875,32.0,28.125,93.75,0.5,0.8292164975186938,0.7077572735587758,-0.8855560888846834,-0.6702921040893794,-0.6668734163190925
Roston Chase,5,97,80,7,38,7,4.948453608247422,13.857142857142858,39.175257731958766,92.78350515463917,1.4,-0.7841775128292584,-0.49083371291186967,-0.020056089217194154,-0.9293560304135986,0.5702075282808357
Ruben Trumpelmann,4,79,107,8,26,7,8.126582278481013,9.875,32.91139240506329,91.13924050632912,2.0,0.1887419170331788,-0.7539102778557221,-0.5106668577484944,-1.3700926341854318,1.3949281580141213
Saad Bin Zafar,3,73,87,2,21,1,7.1506849315068495,36.5,28.767123287671232,98.63013698630137,0.6666666666666666,-0.11000920003615715,1.0050455891007075,-0.8352624469853985,0.6378032828024945,-0.43778435250429093
Safyaan Sharif,2,51,82,4,13,3,9.647058823529411,12.75,25.49019607843137,94.11764705882354,2.0,0.654204875529119,-0.5639760762594879,-1.0919243789786124,-0.571746218389577,1.3949281580141213
Sagar Dhakal,1,24,21,0,8,0,5.25,24.0,33.33333333333333,100.0,0.0,-0.691865220287802,0.17924471259534155,-0.4776187712571501,1.0049879528072323,-1.354140607763497
